B19013_001E,state,county,tract,block group
81274,17,031,151200,2
60329,17,031,151200,3
72031,17,031,160100,1
129583,17,031,160100,2
84063,17,031,160200,1
112589,17,031,160200,2
-666666666,17,031,160200,3
132500,17,031,160200,4
71890,17,031,160300,1
58342,17,031,160300,2
81825,17,031,160300,3
66420,17,031,160400,1
98182,17,031,160400,2
57382,17,031,160400,3
91635,17,031,160501,1
66188,17,031,160501,2
60278,17,031,160502,1
80870,17,031,160502,2
104313,17,031,160502,3
64828,17,031,160601,1
79904,17,031,160601,2
75000,17,031,160601,3
66528,17,031,160602,1
86409,17,031,160602,2
79375,17,031,160602,3
-666666666,17,031,160700,1
-666666666,17,031,160700,2
77727,17,031,160700,3
102816,17,031,160700,4
85896,17,031,160700,5
67029,17,031,160800,1
63500,17,031,160800,2
75352,17,031,160800,3
73194,17,031,160800,4
87520,17,031,160800,5
92938,17,031,160900,1
86250,17,031,160900,2
84338,17,031,161000,1
100962,17,031,161000,2
128625,17,031,161100,1
153043,17,031,161100,2
52315,17,031,161200,1
67321,17,031,161200,2
70714,17,031,161300,1
48494,17,031,161300,2
-666666666,17,031,161300,3
36898,17,031,161300,4
48438,17,031,170100,1
128026,17,031,170200,1
72417,17,031,170200,2
75714,17,031,170200,3
63750,17,031,170300,1
54318,17,031,170300,2
77321,17,031,170300,3
128214,17,031,170300,4
85430,17,031,170300,5
-666666666,17,031,170400,1
68264,17,031,170400,2
92864,17,031,170400,3
118190,17,031,170400,4
66550,17,031,170500,1
115781,17,031,170500,2
92083,17,031,170500,3
92955,17,031,170500,4
72200,17,031,170600,1
63542,17,031,170600,2
75518,17,031,170700,1
66250,17,031,170700,2
79203,17,031,170700,3
84688,17,031,170800,1
60938,17,031,170800,2
61442,17,031,170800,3
74706,17,031,170900,1
40903,17,031,171000,1
-666666666,17,031,171000,2
116627,17,031,171000,3
120078,17,031,171000,4
74213,17,031,171000,5
85515,17,031,171000,6
141351,17,031,171100,1
83125,17,031,171100,2
51935,17,031,171100,3
96667,17,031,180100,1
56250,17,031,180100,2
82313,17,031,180100,3
-666666666,17,031,180100,4
62375,17,031,180100,5
48352,17,031,190100,1
119375,17,031,190200,1
43958,17,031,190200,2
39914,17,031,190200,3
75958,17,031,190200,4
39417,17,031,190300,1
82889,17,031,190300,2
63571,17,031,190300,3
110417,17,031,190300,4
73068,17,031,190401,1
81923,17,031,190401,2
34184,17,031,190402,1
62400,17,031,190402,2
-666666666,17,031,190601,1
83041,17,031,190601,2
60958,17,031,190601,3
76087,17,031,190602,1
54219,17,031,190602,2
57135,17,031,190602,3
66801,17,031,190701,1
45536,17,031,190701,2
51170,17,031,190702,1
33477,17,031,190702,2
63370,17,031,190702,3
-666666666,17,031,190800,1
68542,17,031,190800,2
72784,17,031,190800,3
87887,17,031,190800,4
40469,17,031,190800,5
64242,17,031,190900,1
35093,17,031,191000,1
96250,17,031,191000,2
48529,17,031,191100,1
-666666666,17,031,191100,2
29291,17,031,191100,3
76936,17,031,191100,4
61303,17,031,191100,5
67054,17,031,191100,6
58250,17,031,191200,1
44032,17,031,191200,2
81875,17,031,191301,1
45789,17,031,191301,2
59014,17,031,191301,3
71500,17,031,191302,1
58108,17,031,191302,2
109432,17,031,200100,1
68503,17,031,200100,2
47219,17,031,200100,3
68472,17,031,200200,1
57628,17,031,200200,2
48026,17,031,200200,3
67923,17,031,200200,4
-666666666,17,031,200300,1
59013,17,031,200300,2
44063,17,031,200401,1
67121,17,031,200401,2
64063,17,031,200402,1
55286,17,031,200402,2
75700,17,031,200402,3
128150,17,031,210100,1
94057,17,031,210100,2
70250,17,031,210100,3
48864,17,031,210400,1
57188,17,031,210400,2
52154,17,031,210501,1
54788,17,031,210501,2
55184,17,031,210502,1
84028,17,031,210502,2
68798,17,031,210502,3
202524,17,031,210601,1
56726,17,031,210601,2
78393,17,031,210601,3
100192,17,031,210602,1
74049,17,031,210602,2
106488,17,031,210602,3
53790,17,031,210700,1
89152,17,031,210700,2
64500,17,031,210700,3
67308,17,031,210800,1
106860,17,031,210900,1
88198,17,031,210900,2
115357,17,031,220300,1
83283,17,031,220300,2
68969,17,031,220400,1
111625,17,031,220400,2
83362,17,031,220500,1
98571,17,031,220500,2
71711,17,031,220500,3
103851,17,031,220601,1
114125,17,031,220601,2
-666666666,17,031,220602,1
61842,17,031,220602,2
-666666666,17,031,220602,3
69255,17,031,220602,4
67375,17,031,220701,1
-666666666,17,031,220701,2
65904,17,031,220701,3
86667,17,031,220702,1
81029,17,031,220702,2
55536,17,031,220702,3
-666666666,17,031,220702,4
80870,17,031,220901,1
-666666666,17,031,220901,2
80588,17,031,220901,3
70221,17,031,220902,1
68917,17,031,220902,2
62125,17,031,221000,1
92550,17,031,221000,2
79795,17,031,221100,1
55179,17,031,221100,2
86806,17,031,221100,3
147750,17,031,221200,1
117596,17,031,221200,2
77227,17,031,221300,1
51023,17,031,221300,2
71563,17,031,221300,3
145625,17,031,221400,1
108214,17,031,221400,2
66625,17,031,221400,3
41643,17,031,221500,1
64441,17,031,221500,2
156354,17,031,221600,1
138214,17,031,221600,2
191111,17,031,222200,1
154500,17,031,222200,2
103125,17,031,222500,1
75078,17,031,222600,1
98438,17,031,222700,1
72969,17,031,222700,2
80850,17,031,222800,1
74940,17,031,222900,1
84583,17,031,230100,1
64844,17,031,230200,1
52557,17,031,230300,1
93407,17,031,230400,1
68646,17,031,230400,2
36463,17,031,230500,1
-666666666,17,031,230500,2
114506,17,031,230600,1
27833,17,031,230600,2
72978,17,031,230600,3
-666666666,17,031,230600,4
66010,17,031,230600,5
-666666666,17,031,230600,6
27924,17,031,230700,1
70857,17,031,230700,2
61645,17,031,230700,3
43374,17,031,230700,4
61111,17,031,230800,1
60500,17,031,230900,1
62946,17,031,230900,2
57955,17,031,230900,3
55714,17,031,231100,1
37000,17,031,231200,1
25938,17,031,231200,2
36648,17,031,231200,3
-666666666,17,031,231200,4
43710,17,031,231200,5
-666666666,17,031,231500,1
90024,17,031,231500,2
38220,17,031,231500,3
-666666666,17,031,231500,4
-666666666,17,031,231500,5
144659,17,031,240200,1
139432,17,031,240300,1
167768,17,031,240500,1
144286,17,031,240600,1
93534,17,031,240700,1
163750,17,031,240800,1
71667,17,031,240800,2
66250,17,031,240900,1
87750,17,031,241000,1
77750,17,031,241000,2
83993,17,031,241100,1
80486,17,031,241100,2
116389,17,031,241200,1
116250,17,031,241200,2
158750,17,031,241300,1
-666666666,17,031,241400,1
149048,17,031,241400,2
211111,17,031,241400,3
145542,17,031,241400,4
169815,17,031,241500,1
175278,17,031,241500,2
129828,17,031,241500,3
123750,17,031,241600,1
103942,17,031,241600,2
143220,17,031,242000,1
158318,17,031,242000,2
77549,17,031,242000,3
200420,17,031,242100,1
163382,17,031,242100,2
157391,17,031,242100,3
139932,17,031,242200,1
151691,17,031,242200,2
98194,17,031,242300,1
77448,17,031,242300,2
108074,17,031,242400,1
88542,17,031,242400,2
80750,17,031,242500,1
75735,17,031,242500,2
-666666666,17,031,242600,1
65341,17,031,242600,2
96830,17,031,242600,3
80357,17,031,242600,4
65781,17,031,242700,1
127813,17,031,242800,1
144141,17,031,242900,1
92500,17,031,242900,2
152885,17,031,243000,1
82939,17,031,243000,2
131250,17,031,243100,1
62429,17,031,243100,2
134853,17,031,243200,1
70000,17,031,243200,2
76111,17,031,243300,1
152434,17,031,243300,2
85074,17,031,243400,1
-666666666,17,031,243400,2
131591,17,031,243400,3
106094,17,031,243500,1
160375,17,031,243500,2
61111,17,031,250200,1
48173,17,031,250200,2
81055,17,031,250300,1
37198,17,031,250300,2
48728,17,031,250300,3
27120,17,031,250300,4
-666666666,17,031,250400,1
33922,17,031,250400,2
36313,17,031,250400,3
48727,17,031,250400,4
63438,17,031,250400,5
110125,17,031,250500,1
33539,17,031,250500,2
95673,17,031,250500,3
137394,17,031,250500,4
140811,17,031,250500,5
55146,17,031,250500,6
161346,17,031,250500,7
40673,17,031,250600,1
91875,17,031,250600,2
46473,17,031,250600,3
57404,17,031,250600,4
-666666666,17,031,250700,1
54734,17,031,250700,2
41108,17,031,250700,3
52856,17,031,250700,4
40119,17,031,250700,5
72847,17,031,250800,1
61021,17,031,250800,2
29915,17,031,251000,1
14659,17,031,251100,1
43365,17,031,251100,2
29178,17,031,251100,3
36121,17,031,251100,4
-666666666,17,031,251200,1
-666666666,17,031,251200,2
-666666666,17,031,251200,3
60714,17,031,251200,4
38981,17,031,251300,1
32604,17,031,251300,2
31472,17,031,251300,3
-666666666,17,031,251300,4
42708,17,031,251300,5
-666666666,17,031,251400,1
13902,17,031,251400,2
33932,17,031,251400,3
18429,17,031,251400,4
75093,17,031,251500,1
-666666666,17,031,251500,2
28068,17,031,251500,3
50093,17,031,251500,4
47417,17,031,251600,1
25972,17,031,251600,2
40293,17,031,251600,3
52031,17,031,251700,1
20917,17,031,251800,1
-666666666,17,031,251800,2
33750,17,031,251800,3
21691,17,031,251800,4
38250,17,031,251800,5
35250,17,031,251900,1
50325,17,031,251900,2
20494,17,031,251900,3
24701,17,031,251900,4
17768,17,031,252000,1
29820,17,031,252000,2
44944,17,031,252000,3
18384,17,031,252000,4
-666666666,17,031,252101,1
34569,17,031,252102,1
55850,17,031,252102,2
-666666666,17,031,252102,3
48241,17,031,252102,4
44464,17,031,252201,1
-666666666,17,031,252201,2
39276,17,031,252201,3
28854,17,031,252202,1
37292,17,031,252202,2
30508,17,031,252202,3
51019,17,031,252202,4
58917,17,031,252202,5
21188,17,031,260100,1
41506,17,031,260200,1
18803,17,031,260300,1
-666666666,17,031,260400,1
40985,17,031,260500,1
44250,17,031,260600,1
43036,17,031,260600,2
40742,17,031,260700,1
27813,17,031,260700,2
29167,17,031,260800,1
44444,17,031,260800,2
22455,17,031,260900,1
70833,17,031,260900,2
40524,17,031,261000,1
41170,17,031,261000,2
19107,17,031,270500,1
27784,17,031,271200,1
33750,17,031,271300,1
27273,17,031,271400,1
37857,17,031,271500,1
50441,17,031,271800,1
155265,17,031,280100,1
111250,17,031,280100,2
201250,17,031,280100,3
65972,17,031,280400,1
21786,17,031,280800,1
-666666666,17,031,280900,1
154441,17,031,281900,1
87690,17,031,281900,2
84500,17,031,281900,3
68967,17,031,282700,1
88207,17,031,282700,2
74158,17,031,282800,1
-666666666,17,031,283100,1
60139,17,031,283100,2
53153,17,031,283200,1
31826,17,031,283800,1
82375,17,031,283800,2
16694,17,031,290900,1
-666666666,17,031,290900,2
31681,17,031,290900,3
43542,17,031,290900,4
21625,17,031,291200,1
29444,17,031,291200,2
110167,17,031,291600,1
30096,17,031,292200,1
31348,17,031,292200,2
44706,17,031,292200,3
18424,17,031,292400,1
50906,17,031,292400,2
43417,17,031,292500,1
52396,17,031,292500,2
-666666666,17,031,292500,3
28147,17,031,300500,1
57361,17,031,300500,2
46725,17,031,300600,1
46885,17,031,300600,2
51163,17,031,300700,1
43199,17,031,300700,2
34194,17,031,300700,3
28545,17,031,300800,1
33561,17,031,300800,2
27228,17,031,300900,1
-666666666,17,031,300900,2
35862,17,031,300900,3
34205,17,031,301100,1
34355,17,031,301100,2
41117,17,031,301200,1
31176,17,031,301200,2
52009,17,031,301200,3
28424,17,031,301600,1
29186,17,031,301600,2
49018,17,031,301701,1
49402,17,031,301701,2
-666666666,17,031,301701,3
-666666666,17,031,301702,1
32992,17,031,301702,2
42381,17,031,301702,3
44479,17,031,301801,1
29207,17,031,301801,2
36635,17,031,301802,1
42765,17,031,301802,2
26838,17,031,301802,3
35950,17,031,301803,1
34688,17,031,301803,2
51467,17,031,301803,3
96875,17,031,310200,1
95625,17,031,310200,2
70149,17,031,310300,1
59833,17,031,310400,1
53923,17,031,310500,1
69142,17,031,310600,1
88415,17,031,310600,2
