H1_001N,H8_001N,state,county,tract,block group
320,556,17,031,681000,2
244,568,17,031,681000,3
611,1006,17,031,681000,4
274,596,17,031,681100,1
276,522,17,031,681100,2
285,681,17,031,681100,3
328,560,17,031,681100,4
424,1028,17,031,251800,2
453,1197,17,031,251600,3
513,1343,17,031,251700,1
483,1108,17,031,251800,1
398,956,17,031,251800,3
303,745,17,031,251800,4
472,1163,17,031,251800,5
314,762,17,031,251900,1
504,1391,17,031,251900,2
533,1033,17,031,251900,3
894,2010,17,031,251900,4
383,737,17,031,252000,1
944,1956,17,031,252000,2
729,1600,17,031,252000,3
617,1219,17,031,252000,4
775,1502,17,031,252101,1
739,1701,17,031,252102,1
621,1536,17,031,252102,2
774,1743,17,031,252102,3
471,1207,17,031,252102,4
372,837,17,031,252201,1
251,546,17,031,252201,2
548,1222,17,031,252201,3
377,837,17,031,252202,1
386,986,17,031,252202,2
478,1031,17,031,252202,3
285,751,17,031,252202,4
493,1151,17,031,252202,5
936,1477,17,031,260100,1
524,1054,17,031,260200,1
691,1500,17,031,260300,1
614,1398,17,031,260400,1
743,1822,17,031,260500,1
378,888,17,031,260600,1
497,1226,17,031,260600,2
239,490,17,031,260700,1
482,1201,17,031,260700,2
485,1059,17,031,260800,1
566,1212,17,031,260800,2
378,852,17,031,260900,1
238,577,17,031,260900,2
304,834,17,031,800200,3
499,1430,17,031,800100,2
458,1234,17,031,800200,1
494,1313,17,031,800200,2
336,966,17,031,800200,4
407,831,17,031,800500,1
342,1070,17,031,800500,2
313,895,17,031,800500,3
398,1314,17,031,800500,4
314,1017,17,031,800500,5
452,1368,17,031,800600,1
361,1061,17,031,800600,2
278,831,17,031,800700,1
742,2202,17,031,800700,2
272,809,17,031,800700,3
486,1377,17,031,800700,4
1137,2426,17,031,800800,1
490,1338,17,031,800900,1
278,801,17,031,800900,2
467,1304,17,031,800900,3
385,1047,17,031,800900,4
325,836,17,031,801000,1
469,1267,17,031,801000,2
756,1561,17,031,801000,3
608,1673,17,031,801000,4
254,761,17,031,801100,1
468,1161,17,031,801100,2
467,1350,17,031,801100,3
542,1594,17,031,801100,4
420,1138,17,031,801200,1
253,828,17,031,801200,2
804,1685,17,031,801200,3
388,904,17,031,801300,1
548,1533,17,031,801400,1
438,1238,17,031,801300,2
269,884,17,031,801300,3
636,1344,17,031,801300,4
506,1389,17,031,801400,2
1255,2394,17,031,801500,1
766,2090,17,031,801500,2
827,1769,17,031,801500,3
1288,2698,17,031,801601,1
800,1929,17,031,801601,2
484,1404,17,031,801603,1
1031,2357,17,031,801603,2
649,1463,17,031,801605,1
334,904,17,031,801605,2
753,1708,17,031,801605,3
356,1043,17,031,801605,4
425,1230,17,031,800200,5
310,889,17,031,800200,6
470,1292,17,031,800300,1
272,630,17,031,800300,2
548,1691,17,031,800300,3
437,1321,17,031,800400,1
567,1556,17,031,800400,2
364,1059,17,031,800400,3
294,963,17,031,620300,4
258,852,17,031,620300,1
346,1099,17,031,620300,2
356,1169,17,031,620300,3
283,847,17,031,620300,5
519,1468,17,031,620300,6
373,1328,17,031,620400,1
368,1418,17,031,620400,2
281,1063,17,031,620400,3
328,1215,17,031,620400,4
629,2388,17,031,630300,1
811,2997,17,031,630300,2
460,1790,17,031,630400,1
418,1578,17,031,630400,2
498,1875,17,031,630400,3
528,1961,17,031,630400,4
491,1773,17,031,630500,1
383,1390,17,031,630500,2
447,1521,17,031,630500,3
957,2074,17,031,640500,1
459,781,17,031,421200,2
630,1275,17,031,420800,1
625,1182,17,031,420800,2
326,620,17,031,421200,1
439,757,17,031,430101,1
531,1130,17,031,430101,2
472,863,17,031,430101,3
786,1341,17,031,430101,4
913,1161,17,031,430102,1
432,763,17,031,430102,2
728,1172,17,031,430102,3
326,629,17,031,430200,1
418,638,17,031,430200,2
618,911,17,031,430200,3
638,1337,17,031,430200,4
880,1546,17,031,430200,5
606,1227,17,031,430300,1
362,705,17,031,430300,2
285,626,17,031,430300,3
425,736,17,031,430400,1
406,850,17,031,430400,2
386,717,17,031,430400,3
367,549,17,031,430400,4
974,1528,17,031,430500,1
760,1420,17,031,430500,2
594,1150,17,031,430500,3
318,537,17,031,430600,1
562,1122,17,031,430600,2
872,1123,17,031,430700,1
540,879,17,031,430700,2
410,863,17,031,430800,1
470,999,17,031,430800,2
394,1582,17,031,630500,4
631,2097,17,031,630600,1
398,1153,17,031,630600,2
447,1645,17,031,630800,1
461,1713,17,031,630800,2
395,1590,17,031,630800,3
530,1686,17,031,630800,4
475,1677,17,031,630900,1
536,1780,17,031,630900,2
407,1736,17,031,630900,3
510,1312,17,031,640100,1
306,830,17,031,640300,1
475,1274,17,031,640300,2
283,848,17,031,640300,3
